"","Dim 1","Dim 2","Type"
"Unqualified",0.142424680393941,0.128295859286468,"Brand"
"Cep",0.0740263439691845,-0.0155125368675277,"Brand"
"Bepc",-0.233579159305652,0.0564805340485889,"Brand"
"University",-0.347173800993305,-0.485052271207132,"Brand"
"Thirty",-0.27636944736227,0.10084210127078,"Brand"
"Fifty",-0.0969469633964236,-0.0220371029891889,"Brand"
"More fifty",0.308095505014742,-0.0405986286226199,"Brand"
"future",-0.22745964290822,0.0723147262757932,"Attributes"
"unemployment",0.207577765170023,0.0550663498360538,"Attributes"
"circumstances",-0.418710945957371,-0.247474708520886,"Attributes"
"hard",0.260973537536181,-0.131228266699583,"Attributes"
"economic",-0.290391241552477,-0.291838706987718,"Attributes"
"egoism",0.260414029628249,-0.149602746480391,"Attributes"
"employment",-0.0787896635991516,-0.0575468390042821,"Attributes"
"finances",-0.0808375313606886,0.213670127644447,"Attributes"
"war",0.0242772923858532,-0.0234911243677462,"Attributes"
